High1 High2 High3 High4 Low1 Low2 Low3 Low4
1552518_s_at 5.05611276125809 5.15702720269025 5.19919212683049 5.3591448238509 4.82918188301568 4.68953479280985 4.49896270619617 4.45033058253498
1552519_at 5.51085765676118 5.14388295760298 5.09247503945523 5.34659031848615 6.46739065037616 6.30936990986404 6.14138140921543 6.03226398029534
1552520_at 6.38986960446229 6.21547206429028 5.94823159306898 6.78924396506853 6.20499186474403 6.32464763052711 6.31628359006122 6.2852163799317
1552521_a_at 4.94918933006989 4.77569711138181 4.84201606143348 5.97839614338524 5.08561579443372 5.34077808826404 5.03399520415099 4.96173187798666
1552522_at 2.49901851791495 2.75990223742709 2.48472843273183 2.96529479742785 2.64260774708866 2.80968229862357 2.7470366761265 2.74649507122272
1552523_a_at 4.30726876759247 4.21513771355973 4.27838367141972 4.90496973195076 4.90091199549168 4.83530155083762 5.03136603413374 4.95106316908925
1552540_s_at 5.54657949892996 5.62223272942589 5.35947583764598 7.46639145388361 8.17411962505281 8.20921204473071 7.97674712410894 7.92426978598062
1552546_a_at 6.61317274278508 6.66530727676914 6.46138363473382 6.44288386305507 5.56207201356188 5.35807542287479 5.25500580742882 5.16033044333966
1552558_a_at 5.93361774365033 6.12680284354302 6.17574170382668 6.00354236907379 6.22047805838995 5.91275139380351 6.14708582138607 6.12262484575233
1552562_at 4.65496917054228 4.67570620826561 4.83764615034924 4.66302857354976 5.15343053569958 5.39069754062128 5.22898169043687 5.11330244996882
1552572_a_at 5.93032205311774 5.84800016093102 6.09518079482097 6.79985425666105 6.62984474212007 6.26832804277174 6.34851103281847 6.32262902719908
1552573_s_at 7.36991273869493 7.32450538672397 7.37715974331997 8.02936915403317 7.93901000605079 7.77181310823827 7.65128398235926 7.49495859603514
1552575_a_at 7.01419008797172 7.01354029013919 6.91594735361661 7.55883921654903 6.5085193449683 6.54592591913175 6.54976793240149 6.40695997259968
1552578_a_at 2.92781279434352 2.97096668005405 3.60272307229264 5.19056883981835 6.47464364597868 6.31311987646497 6.33751750039229 6.17236215822948
1552579_a_at 4.92828181531206 4.77220180846297 4.67867500410216 4.38116056054202 4.79204349627859 5.55793017717993 5.04217592245124 4.97520535832687
1552609_s_at 3.66073700312378 3.9802709971441 3.72498655901236 4.3687907113589 3.92351926403163 3.9872463534261 4.10519355960672 4.14092389857526
1552610_a_at 9.63894550177493 9.55428676594875 9.59273965200003 9.51062744230871 9.41522748966475 9.41728324350155 9.35666188187822 9.41059442938148
1552611_a_at 7.84801409741454 7.7312792977648 7.69605745572655 7.85278024636371 7.76626291770867 7.71023975398627 7.63489436072834 7.5271512484854
1552612_at 7.30246867422637 7.31751997644376 7.29275715241698 7.52330155391884 7.3757191666276 7.14742996312747 7.28627520352829 7.11891777781465
1552613_s_at 7.6735762520244 7.62756511123866 7.70070203287064 8.06497632921533 7.79487908963381 7.65736420714936 7.65190403166743 7.54123445319072
1552617_a_at 9.09075856954795 9.20983708310911 9.09441313784212 9.25233168078674 8.91708821111687 8.80812719338502 8.70120329282379 8.73985587536091
1552618_at 8.46907450439518 8.40005555002644 8.2935692463169 8.39053625999223 8.64882016976336 8.64330183905901 8.61034749654314 8.60638354941381
1552619_a_at 10.3929794172819 10.4036627528622 10.2136931789325 11.0529989520167 10.4615909335363 10.4342340751462 10.5710359974168 10.6094783513523
1552621_at 8.18876035383337 8.08947343614103 8.2482020885529 7.24125111261429 7.79658724060375 7.82478835356958 7.76569698367164 7.64103368767407
1552622_s_at 6.9130103116694 6.75755140382178 7.06412951949107 6.04498895459157 6.5124048967197 6.48140314267719 6.70748264391299 6.59644203447666
1552623_at 5.04307310568447 5.24513731896954 4.80929316378286 5.86385351763413 6.33344849093768 6.13360956060812 6.30933175827277 6.20493672672668
1552625_a_at 8.31838872258504 8.35167383424447 8.22913101361529 8.32173794627244 8.05253298906164 8.02347555004564 7.92626128438807 7.82153525499057
1552627_a_at 8.78581064928766 8.63300717383149 8.79541926856822 8.28098011294336 7.59099288440228 7.37926933421495 7.5371729451709 7.45849508738137
1552628_a_at 8.24824427205642 8.29817562545242 8.23253056703741 8.2215624272294 8.99802841602992 9.00087196377177 9.03328427816073 9.03443899378029
1552633_at 4.87718702385709 4.42718231286563 4.59853434138273 4.77605426013459 4.46940428005897 4.66756731560966 4.51936239188804 4.44813568737769
1552634_a_at 4.66367365936737 4.64234360464297 4.70902502039362 5.01762086314525 5.40695060882056 5.34535229721918 5.08424823795098 5.03323588390133
1552641_s_at 9.00273721860976 9.08060514831643 9.24309774754981 9.11795250777382 8.04591237449963 7.98993567345195 7.76229477145895 7.70094523228992
1552643_at 8.39137970560566 8.2421614568896 8.3339254324297 8.04635512511753 8.45103927661769 8.3422474808299 8.36968461545558 8.4004000043126
1552644_a_at 7.17260230772923 7.46347653564216 7.39303784552104 7.36551123439169 6.68832834970673 6.35744903528183 6.38043689651025 6.30093773075422
1552648_a_at 7.0518848972649 7.07407880312435 7.05667631403842 8.90031506825765 8.73105934680111 8.74215320371158 8.72820214078806 8.73089789206402
1552652_at 5.44967400654432 5.4081937042573 5.38566087759038 5.56854536251981 5.47103742445633 5.38293671003514 5.51562758140749 5.48026325722618
1552656_s_at 7.64366055197825 7.73442153660232 7.62761382540022 7.60444517009856 7.41747664824656 7.58376407424617 7.47771089847672 7.36802773707896
1552658_a_at 5.20797202026386 5.07615146954017 4.21169526053318 3.54665704104914 3.54665704104914 3.74292148809356 3.56138077635698 3.53478291423242
1552660_a_at 8.08622868457029 8.09008143510574 8.01271530730001 7.53586690386544 7.64803734337823 7.43249302429818 7.63911186202264 7.52800347258209
1552663_a_at 6.8546118984298 6.6332336526409 6.48900659135087 6.58242602941041 6.64836823548187 6.82329268446386 6.87405188610759 6.75708462425829
1552664_at 6.08002436893433 6.44061793632724 6.2252480731081 6.20949343258097 6.10817477706887 5.90859832677284 5.9235443117114 5.87602019696275
1552665_at 5.92764079959135 5.894816290938 5.82037157563442 5.18703708933946 4.83237152498591 5.31637498609502 5.05453183976231 5.05453183976231
1552670_a_at 6.0560065143248 6.16641028647822 6.12708136376049 5.87293141888383 5.85969058423333 6.17673411704555 5.96839427538884 5.83107781886852
